Year,price_to_earning,price_to_book,dividend,roe,roa,earning_per_share,book_value_per_share,interest_margin,non_interest_on_toi,bad_debt_percentage,provision_on_bad_debt,cost_of_financing,equity_on_total_asset,equity_on_loan,cost_to_income,equity_on_liability,eps_change,asset_on_equity,pre_provision_on_toi,post_tax_on_toi,loan_on_earn_asset,loan_on_asset,loan_on_deposit,deposit_on_earn_asset,bad_debt_on_asset,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,credit_growth,ticker,value_before_ebitda,days_receivable,days_inventory,days_payable,ebit_on_interest,current_payment,quick_payment,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,ebitda_on_stock_change
2018,13.4,1.1,,0.081,0.005,1097,14007,0.02,0.219,0.016,0.953,0.053,0.058,0.078,0.495,0.1,-0.29,17.3,0.406,0.186,0.777,0.743,1.047,0.742,0.012,0.245,16.3,0.004,0.056,0.094,CTG,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,12.0,1.4,,0.12,0.007,1546,13268,0.028,0.17,0.011,0.921,0.046,0.058,0.081,0.462,0.1,0.087,17.2,0.436,0.229,0.757,0.722,1.05,0.72,0.008,0.261,16.2,0.01,0.057,0.194,CTG,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,7.5,0.8,0.07,0.118,0.008,1422,12548,0.027,0.153,0.01,1.023,0.044,0.064,0.091,0.486,0.1,0.2,15.7,0.411,0.259,0.734,0.698,1.011,0.726,0.007,0.284,14.7,0.004,0.075,0.23,CTG,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,11.1,1.1,0.07,0.103,0.008,1185,11675,0.028,0.172,0.009,0.921,0.041,0.072,0.104,0.471,0.1,-0.003,13.9,0.411,0.251,0.73,0.69,1.092,0.669,0.006,0.291,12.9,0.009,0.02,0.223,CTG,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,0.1,0.105,0.009,1188,11451,0.031,0.151,0.011,0.89,0.047,0.083,0.125,0.466,0.1,-0.014,12.0,0.419,0.272,0.711,0.665,1.037,0.686,0.007,0.315,11.0,0.007,0.018,0.169,CTG,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,0.1,0.132,0.011,1205,11252,0.036,0.161,0.01,0.875,0.059,0.094,0.144,0.455,0.1,-0.058,10.7,0.408,0.267,0.697,0.653,1.032,0.675,0.007,0.331,9.7,0.013,0.608,0.129,CTG,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,0.16,0.198,0.013,1280,6996,0.04,0.161,0.015,0.751,0.082,0.067,0.101,0.43,0.1,-0.015,15.0,0.431,0.281,0.704,0.662,1.153,0.611,0.01,0.317,14.0,0.012,0.18,0.136,CTG,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,0.268,0.015,1299,5928,0.051,0.104,0.008,1.378,0.107,0.062,0.097,0.406,0.1,0.817,16.2,0.443,0.28,0.673,0.637,1.141,0.59,0.005,0.352,15.2,0.018,0.568,0.253,CTG,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,0.135,0.224,0.011,714,3780,0.041,0.186,0.007,1.8,0.082,0.049,0.078,0.484,0.1,0.336,20.2,0.383,0.232,0.67,0.637,1.137,0.589,0.004,0.351,19.2,0.009,0.445,0.435,CTG,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,0.207,0.012,535,2616,0.038,0.181,0.006,1.55,0.068,0.052,0.077,0.599,0.1,0.426,19.4,0.307,0.267,0.708,0.669,1.099,0.645,0.004,0.313,18.4,0.008,0.019,0.351,CTG,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,0.157,0.01,375,2566,0.041,0.173,0.018,0.983,0.108,0.064,0.102,0.57,0.1,0.57,15.7,0.318,0.208,0.654,0.624,0.993,0.659,0.011,0.38,14.7,0.008,0.159,0.182,CTG,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,0.008,239,2215,0.032,0.296,0.0,,,0.064,0.104,0.416,0.1,0.907,15.6,0.439,0.173,0.639,0.615,0.909,0.703,0.0,0.398,14.6,0.007,0.888,0.275,CTG,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,8.1,1.2,,0.156,0.024,3046,20940,0.042,0.244,0.011,1.139,0.033,0.151,0.234,0.327,0.2,0.195,6.6,0.532,0.463,0.686,0.645,1.184,0.579,0.007,0.365,5.6,0.004,0.124,0.218,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,6.1,0.8,0.097,0.148,0.023,2548,18629,0.04,0.309,0.012,1.021,0.046,0.155,0.254,0.331,0.2,-0.107,6.5,0.532,0.454,0.688,0.611,1.141,0.603,0.007,0.345,5.5,0.005,0.16,0.233,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,4.4,0.8,,0.197,0.032,2852,16054,0.053,0.253,0.007,1.573,0.028,0.162,0.27,0.321,0.2,-0.443,6.2,0.542,0.504,0.684,0.602,1.173,0.583,0.004,0.347,5.2,0.002,-0.392,0.211,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,9.8,1.9,,0.217,0.036,5124,26413,0.057,0.28,0.007,1.629,0.022,0.164,0.268,0.301,0.2,0.462,6.1,0.554,0.497,0.665,0.611,1.104,0.603,0.004,0.382,5.1,0.004,0.245,0.252,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,9.0,1.5,,0.181,0.03,3504,21214,0.049,0.307,0.005,1.71,0.031,0.17,0.269,0.319,0.2,0.221,5.9,0.542,0.465,0.681,0.631,1.0,0.68,0.003,0.372,4.9,0.013,0.2,0.202,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,8.2,1.3,,0.178,0.029,2869,17679,0.043,0.323,0.013,0.948,0.038,0.162,0.269,0.347,0.2,0.191,6.2,0.52,0.485,0.649,0.602,0.998,0.651,0.008,0.411,5.2,0.002,0.199,0.443,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,10.7,1.8,,0.215,0.029,2410,14749,0.041,0.379,0.018,0.851,0.041,0.161,0.324,0.318,0.2,0.313,6.2,0.542,0.462,0.537,0.498,0.794,0.676,0.009,0.531,5.2,0.008,0.923,-0.006,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,0.277,0.026,1835,7670,0.038,0.457,0.016,0.729,0.039,0.1,0.167,0.292,0.1,1.047,10.0,0.568,0.392,0.639,0.597,0.941,0.679,0.01,0.392,9.0,0.021,0.375,0.128,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,
